id	myclass	myid	male	female	age	years
Iron_deficiency_anaemia	D	D-Iro	611563	908533	60-69 years	60
Iron_deficiency_anaemia	D	D-Iro	611563	908533	60-69 years	69
Iron_deficiency_anaemia	D	D-Iro	552225	919255	70+ years	70
Iron_deficiency_anaemia	D	D-Iro	552225	919255	70+ years	75
Other_nutritional_deficiencies	D	D-ond	840	613	0-27 days	0
Other_nutritional_deficiencies	D	D-ond	840	613	0-27 days	0.07
Other_nutritional_deficiencies	D	D-ond	29442	28180	1-59 months	0.08
Other_nutritional_deficiencies	D	D-ond	29442	28180	1-59 months	4.9
Other_nutritional_deficiencies	D	D-ond	7507	10162	5-14 years	5
Other_nutritional_deficiencies	D	D-ond	7507	10162	5-14 years	14
Other_nutritional_deficiencies	D	D-ond	12268	14097	15-29 years	15
Other_nutritional_deficiencies	D	D-ond	12268	14097	15-29 years	29
Other_nutritional_deficiencies	D	D-ond	18386	17899	30-49 years	30
Other_nutritional_deficiencies	D	D-ond	18386	17899	30-49 years	49
Other_nutritional_deficiencies	D	D-ond	11775	10842	50-59 years	50
Other_nutritional_deficiencies	D	D-ond	11775	10842	50-59 years	59
Other_nutritional_deficiencies	D	D-ond	14410	10862	60-69 years	60
Other_nutritional_deficiencies	D	D-ond	14410	10862	60-69 years	69
Other_nutritional_deficiencies	D	D-ond	35493	44543	70+ years	70
Other_nutritional_deficiencies	D	D-ond	35493	44543	70+ years	75
Other_digestive_diseases	D	D-Oth	13043	7916	0-27 days	0
Other_digestive_diseases	D	D-Oth	13043	7916	0-27 days	0.07
Other_digestive_diseases	D	D-Oth	982296	910700	1-59 months	0.08
Other_digestive_diseases	D	D-Oth	982296	910700	1-59 months	4.9
Other_digestive_diseases	D	D-Oth	1245906	1191555	5-14 years	5
Other_digestive_diseases	D	D-Oth	1245906	1191555	5-14 years	14
Other_digestive_diseases	D	D-Oth	2579716	1668757	15-29 years	15
Other_digestive_diseases	D	D-Oth	2579716	1668757	15-29 years	29
Other_digestive_diseases	D	D-Oth	4946464	2483468	30-49 years	30
Other_digestive_diseases	D	D-Oth	4946464	2483468	30-49 years	49
Other_digestive_diseases	D	D-Oth	2757602	1648749	50-59 years	50
Other_digestive_diseases	D	D-Oth	2757602	1648749	50-59 years	59
Other_digestive_diseases	D	D-Oth	2518150	1962937	60-69 years	60
Other_digestive_diseases	D	D-Oth	2518150	1962937	60-69 years	69
Other_digestive_diseases	D	D-Oth	3165905	3845654	70+ years	70
Other_digestive_diseases	D	D-Oth	3165905	3845654	70+ years	75
Protein_energy_malnutrition	D	D-Pro	70987	69497	0-27 days	0
Protein_energy_malnutrition	D	D-Pro	70987	69497	0-27 days	0.07
Protein_energy_malnutrition	D	D-Pro	8446795	7506611	1-59 months	0.08
Protein_energy_malnutrition	D	D-Pro	8446795	7506611	1-59 months	4.9
Protein_energy_malnutrition	D	D-Pro	2091728	2280308	5-14 years	5
Protein_energy_malnutrition	D	D-Pro	2091728	2280308	5-14 years	14
Protein_energy_malnutrition	D	D-Pro	1060859	1233532	15-29 years	15
Protein_energy_malnutrition	D	D-Pro	1060859	1233532	15-29 years	29
Protein_energy_malnutrition	D	D-Pro	991778	1072901	30-49 years	30
Protein_energy_malnutrition	D	D-Pro	991778	1072901	30-49 years	49
Protein_energy_malnutrition	D	D-Pro	418463	476568	50-59 years	50
Protein_energy_malnutrition	D	D-Pro	418463	476568	50-59 years	59
Protein_energy_malnutrition	D	D-Pro	451760	546551	60-69 years	60
Protein_energy_malnutrition	D	D-Pro	451760	546551	60-69 years	69
Protein_energy_malnutrition	D	D-Pro	675557	1058320	70+ years	70
Protein_energy_malnutrition	D	D-Pro	675557	1058320	70+ years	75
Peptic_ulcer_disease	D	D-Ucl	28	30	0-27 days	0
Peptic_ulcer_disease	D	D-Ucl	28	30	0-27 days	0.07
Peptic_ulcer_disease	D	D-Ucl	91337	104657	1-59 months	0.08
Peptic_ulcer_disease	D	D-Ucl	91337	104657	1-59 months	4.9
Peptic_ulcer_disease	D	D-Ucl	137741	155698	5-14 years	5
Peptic_ulcer_disease	D	D-Ucl	137741	155698	5-14 years	14
Peptic_ulcer_disease	D	D-Ucl	541971	406467	15-29 years	15
Peptic_ulcer_disease	D	D-Ucl	541971	406467	15-29 years	29
Peptic_ulcer_disease	D	D-Ucl	1336367	705122	30-49 years	30
Peptic_ulcer_disease	D	D-Ucl	1336367	705122	30-49 years	49
Peptic_ulcer_disease	D	D-Ucl	960989	501386	50-59 years	50
Peptic_ulcer_disease	D	D-Ucl	960989	501386	50-59 years	59
Peptic_ulcer_disease	D	D-Ucl	873454	603127	60-69 years	60
Peptic_ulcer_disease	D	D-Ucl	873454	603127	60-69 years	69
Peptic_ulcer_disease	D	D-Ucl	874164	859166	70+ years	70
Peptic_ulcer_disease	D	D-Ucl	874164	859166	70+ years	75
Vitamin_A_deficiency	D	D-VAD	0	0	0-27 days	0
Vitamin_A_deficiency	D	D-VAD	0	0	0-27 days	0.07
Vitamin_A_deficiency	D	D-VAD	25719	29306	1-59 months	0.08
Vitamin_A_deficiency	D	D-VAD	25719	29306	1-59 months	4.9
Vitamin_A_deficiency	D	D-VAD	262246	286536	5-14 years	5
Vitamin_A_deficiency	D	D-VAD	262246	286536	5-14 years	14
Vitamin_A_deficiency	D	D-VAD	307870	305707	15-29 years	15
Vitamin_A_deficiency	D	D-VAD	307870	305707	15-29 years	29
Vitamin_A_deficiency	D	D-VAD	167440	116724	30-49 years	30
Vitamin_A_deficiency	D	D-VAD	167440	116724	30-49 years	49
Vitamin_A_deficiency	D	D-VAD	15411	9221	50-59 years	50
Vitamin_A_deficiency	D	D-VAD	15411	9221	50-59 years	59
Vitamin_A_deficiency	D	D-VAD	4683	2902	60-69 years	60
Vitamin_A_deficiency	D	D-VAD	4683	2902	60-69 years	69
Vitamin_A_deficiency	D	D-VAD	1014	1740	70+ years	70
Vitamin_A_deficiency	D	D-VAD	1014	1740	70+ years	75
CleftLipPalate	G	G-Cle	166893	74098	0-27 days	0
CleftLipPalate	G	G-Cle	166893	74098	0-27 days	0.07
CleftLipPalate	G	G-Cle	145282	67949	1-59 months	0.08
CleftLipPalate	G	G-Cle	145282	67949	1-59 months	4.9
CleftLipPalate	G	G-Cle	43826	33564	5-14 years	5
CleftLipPalate	G	G-Cle	43826	33564	5-14 years	14
CleftLipPalate	G	G-Cle	35043	30169	15-29 years	15
CleftLipPalate	G	G-Cle	35043	30169	15-29 years	29
CleftLipPalate	G	G-Cle	19486	18524	30-49 years	30
CleftLipPalate	G	G-Cle	19486	18524	30-49 years	49
CleftLipPalate	G	G-Cle	5666	5027	50-59 years	50
CleftLipPalate	G	G-Cle	5666	5027	50-59 years	59
CleftLipPalate	G	G-Cle	3425	3020	60-69 years	60
CleftLipPalate	G	G-Cle	3425	3020	60-69 years	69
CleftLipPalate	G	G-Cle	2387	2567	70+ years	70
CleftLipPalate	G	G-Cle	2387	2567	70+ years	75
Downs	G	G-Dow	194381	239445	0-27 days	0
Downs	G	G-Dow	194381	239445	0-27 days	0.07
Downs	G	G-Dow	333395	404300	1-59 months	0.08
Downs	G	G-Dow	333395	404300	1-59 months	4.9
Downs	G	G-Dow	173286	174873	5-14 years	5
Downs	G	G-Dow	173286	174873	5-14 years	14
Downs	G	G-Dow	207430	201175	15-29 years	15
Downs	G	G-Dow	207430	201175	15-29 years	29
Downs	G	G-Dow	190955	193074	30-49 years	30
Downs	G	G-Dow	190955	193074	30-49 years	49
Downs	G	G-Dow	103653	112846	50-59 years	50
Downs	G	G-Dow	103653	112846	50-59 years	59
Downs	G	G-Dow	54087	64053	60-69 years	60
Downs	G	G-Dow	54087	64053	60-69 years	69
Downs	G	G-Dow	16108	28591	70+ years	70
Downs	G	G-Dow	16108	28591	70+ years	75
CongenHeartAb	G	G-Hea	5437947	4432755	0-27 days	0
CongenHeartAb	G	G-Hea	5437947	4432755	0-27 days	0.07
CongenHeartAb	G	G-Hea	3491948	3060769	1-59 months	0.08
CongenHeartAb	G	G-Hea	3491948	3060769	1-59 months	4.9
CongenHeartAb	G	G-Hea	757403	657795	5-14 years	5
CongenHeartAb	G	G-Hea	757403	657795	5-14 years	14
CongenHeartAb	G	G-Hea	576072	529088	15-29 years	15
CongenHeartAb	G	G-Hea	576072	529088	15-29 years	29
CongenHeartAb	G	G-Hea	228229	224064	30-49 years	30
CongenHeartAb	G	G-Hea	228229	224064	30-49 years	49
CongenHeartAb	G	G-Hea	64903	59687	50-59 years	50
CongenHeartAb	G	G-Hea	64903	59687	50-59 years	59
CongenHeartAb	G	G-Hea	53214	49815	60-69 years	60
CongenHeartAb	G	G-Hea	53214	49815	60-69 years	69
CongenHeartAb	G	G-Hea	72585	88217	70+ years	70
CongenHeartAb	G	G-Hea	72585	88217	70+ years	75
Neural_tube_defects	G	G-Neu	2856001	2710202	0-27 days	0
Neural_tube_defects	G	G-Neu	2856001	2710202	0-27 days	0.07
Neural_tube_defects	G	G-Neu	909486	968872	1-59 months	0.08
Neural_tube_defects	G	G-Neu	909486	968872	1-59 months	4.9
Neural_tube_defects	G	G-Neu	218462	227585	5-14 years	5
Neural_tube_defects	G	G-Neu	218462	227585	5-14 years	14
Neural_tube_defects	G	G-Neu	150152	186768	15-29 years	15
Neural_tube_defects	G	G-Neu	150152	186768	15-29 years	29
Neural_tube_defects	G	G-Neu	108207	133699	30-49 years	30
Neural_tube_defects	G	G-Neu	108207	133699	30-49 years	49
Neural_tube_defects	G	G-Neu	28544	38463	50-59 years	50
Neural_tube_defects	G	G-Neu	28544	38463	50-59 years	59
Neural_tube_defects	G	G-Neu	14280	20083	60-69 years	60
Neural_tube_defects	G	G-Neu	14280	20083	60-69 years	69
Neural_tube_defects	G	G-Neu	9496	12564	70+ years	70
Neural_tube_defects	G	G-Neu	9496	12564	70+ years	75
Other_chromosomal_anomalies	G	G-och	579805	639799	0-27 days	0
Other_chromosomal_anomalies	G	G-och	579805	639799	0-27 days	0.07
Other_chromosomal_anomalies	G	G-och	279380	426728	1-59 months	0.08
Other_chromosomal_anomalies	G	G-och	279380	426728	1-59 months	4.9
Other_chromosomal_anomalies	G	G-och	96977	104358	5-14 years	5
Other_chromosomal_anomalies	G	G-och	96977	104358	5-14 years	14
Other_chromosomal_anomalies	G	G-och	106575	107843	15-29 years	15
Other_chromosomal_anomalies	G	G-och	106575	107843	15-29 years	29
Other_chromosomal_anomalies	G	G-och	92014	92422	30-49 years	30
Other_chromosomal_anomalies	G	G-och	92014	92422	30-49 years	49
Other_chromosomal_anomalies	G	G-och	53323	57563	50-59 years	50
Other_chromosomal_anomalies	G	G-och	53323	57563	50-59 years	59
Other_chromosomal_anomalies	G	G-och	30619	38647	60-69 years	60
Other_chromosomal_anomalies	G	G-och	30619	38647	60-69 years	69
Other_chromosomal_anomalies	G	G-och	13088	22180	70+ years	70
Other_chromosomal_anomalies	G	G-och	13088	22180	70+ years	75
Other_congenital_anomalies	G	G-oco	4156625	3410302	0-27 days	0
Other_congenital_anomalies	G	G-oco	4156625	3410302	0-27 days	0.07
Other_congenital_anomalies	G	G-oco	3628039	3210434	1-59 months	0.08
Other_congenital_anomalies	G	G-oco	3628039	3210434	1-59 months	4.9
Other_congenital_anomalies	G	G-oco	800074	582928	5-14 years	5
Other_congenital_anomalies	G	G-oco	800074	582928	5-14 years	14
Other_congenital_anomalies	G	G-oco	554713	399044	15-29 years	15
Other_congenital_anomalies	G	G-oco	554713	399044	15-29 years	29
Other_congenital_anomalies	G	G-oco	447016	284089	30-49 years	30
Other_congenital_anomalies	G	G-oco	447016	284089	30-49 years	49
Other_congenital_anomalies	G	G-oco	156339	109302	50-59 years	50
Other_congenital_anomalies	G	G-oco	156339	109302	50-59 years	59
Other_congenital_anomalies	G	G-oco	103668	77148	60-69 years	60
Other_congenital_anomalies	G	G-oco	103668	77148	60-69 years	69
Other_congenital_anomalies	G	G-oco	79059	66414	70+ years	70
Other_congenital_anomalies	G	G-oco	79059	66414	70+ years	75
Ascariasis	I	I-Asc	688	538	0-27 days	0
Ascariasis	I	I-Asc	688	538	0-27 days	0.07
Ascariasis	I	I-Asc	121218	109818	1-59 months	0.08
Ascariasis	I	I-Asc	121218	109818	1-59 months	4.9
Ascariasis	I	I-Asc	160626	152667	5-14 years	5
Ascariasis	I	I-Asc	160626	152667	5-14 years	14
Ascariasis	I	I-Asc	165175	158250	15-29 years	15
Ascariasis	I	I-Asc	165175	158250	15-29 years	29
Ascariasis	I	I-Asc	148058	145939	30-49 years	30
Ascariasis	I	I-Asc	148058	145939	30-49 years	49
Ascariasis	I	I-Asc	48351	46286	50-59 years	50
Ascariasis	I	I-Asc	48351	46286	50-59 years	59
Ascariasis	I	I-Asc	26948	28547	60-69 years	60
Ascariasis	I	I-Asc	26948	28547	60-69 years	69
Ascariasis	I	I-Asc	18755	23193	70+ years	70
Ascariasis	I	I-Asc	18755	23193	70+ years	75
Chagas	I	I-Cha	44	20	0-27 days	0
Chagas	I	I-Cha	44	20	0-27 days	0.07
Chagas	I	I-Cha	1174	1166	1-59 months	0.08
Chagas	I	I-Cha	1174	1166	1-59 months	4.9
Chagas	I	I-Cha	2070	1152	5-14 years	5
Chagas	I	I-Cha	2070	1152	5-14 years	14
Chagas	I	I-Cha	10204	6288	15-29 years	15
Chagas	I	I-Cha	10204	6288	15-29 years	29
Chagas	I	I-Cha	63685	46820	30-49 years	30
Chagas	I	I-Cha	63685	46820	30-49 years	49
Chagas	I	I-Cha	65159	55842	50-59 years	50
Chagas	I	I-Cha	65159	55842	50-59 years	59
Chagas	I	I-Cha	70371	65154	60-69 years	60
Chagas	I	I-Cha	70371	65154	60-69 years	69
Chagas	I	I-Cha	63414	75246	70+ years	70
Chagas	I	I-Cha	63414	75246	70+ years	75
Chlamydia	I	I-Chl	0	21	0-27 days	0
Chlamydia	I	I-Chl	0	21	0-27 days	0.07
Chlamydia	I	I-Chl	0	5	1-59 months	0.08
Chlamydia	I	I-Chl	0	5	1-59 months	4.9
